STATION_COMPLEX_ID,STATION_COMPLEX,BOROUGH,LATITUDE,LONGITUDE,TOTAL_RIDERSHIP,TOTAL_TRANSFERS,DAYS_ACTIVE,AVG_DAILY_RIDERSHIP
155,"Cathedral Pkwy (110 St) (C,B)",Manhattan,40.800602,-73.95816,28469.0,475.0,11,2588.09
124,Montrose Av (L),Brooklyn,40.70774,-73.93985,27916.0,85.0,10,2791.6
329,Rector St (1),Manhattan,40.70751,-74.01379,27805.0,951.0,11,2527.73
36,Bay Ridge Av (R),Brooklyn,40.634968,-74.02338,27399.0,1286.0,11,2490.82
255,169 St (F),Queens,40.71047,-73.7936,26901.0,2682.0,11,2445.55
426,"E 180 St (2,5)",Bronx,40.841892,-73.87349,26883.0,3414.0,11,2443.91
33,45 St (R),Brooklyn,40.648937,-74.01001,26882.0,134.0,11,2443.82
388,167 St (4),Bronx,40.835537,-73.9214,26820.0,921.0,11,2438.18
68,Bay Pkwy (D),Brooklyn,40.601875,-73.99373,26806.0,2538.0,11,2436.91
340,"Grand Army Plaza (2,3)",Brooklyn,40.675236,-73.97105,26661.0,562.0,11,2423.73
440,"116 St (2,3)",Manhattan,40.802097,-73.94962,26441.0,595.0,11,2403.73
355,"Winthrop St (2,5)",Brooklyn,40.65665,-73.9502,26180.0,436.0,11,2380.0
321,18 St (1),Manhattan,40.74104,-73.99787,26073.0,82.0,11,2370.27
262,"67 Av (M,R)",Queens,40.726524,-73.85272,26046.0,105.0,11,2367.82
177,Clinton-Washington Avs (C),Brooklyn,40.68326,-73.965836,26040.0,220.0,11,2367.27
98,"Flushing Av (M,J)",Brooklyn,40.70026,-73.941124,25908.0,958.0,11,2355.27
377,3 Av-138 St (6),Bronx,40.810474,-73.92614,25440.0,516.0,11,2312.73
221,21 St-Queensbridge (F),Queens,40.754204,-73.94283,25387.0,4693.0,10,2538.7
381,Kingsbridge Rd (4),Bronx,40.86776,-73.89717,25104.0,1405.0,11,2282.18
460,33 St-Rawson St (7),Queens,40.744587,-73.931,25057.0,156.0,11,2277.91
52,Avenue U (Q),Brooklyn,40.5993,-73.95593,25032.0,2801.0,11,2275.64
123,Grand St (L),Brooklyn,40.711926,-73.94067,24856.0,2956.0,11,2259.64
76,Bay Pkwy (N),Brooklyn,40.611816,-73.98185,24835.0,1090.0,11,2257.73
424,"Pelham Pkwy (2,5)",Bronx,40.857193,-73.867615,24749.0,1527.0,11,2249.91
270,"46 St (M,R)",Queens,40.756313,-73.91333,24660.0,204.0,11,2241.82
192,Rockaway Blvd (A),Queens,40.680428,-73.84386,24650.0,4208.0,11,2240.91
180,Kingston-Throop Avs (C),Brooklyn,40.67992,-73.94086,24380.0,523.0,11,2216.36
300,191 St (1),Manhattan,40.855225,-73.92941,24284.0,90.0,11,2207.64
218,"167 St (B,D)",Bronx,40.83377,-73.91844,24231.0,777.0,11,2202.82
256,Parsons Blvd (F),Queens,40.707565,-73.80333,24197.0,3397.0,11,2199.73
28,Union St (R),Brooklyn,40.677315,-73.98311,24071.0,104.0,11,2188.27
72,Fort Hamilton Pkwy (N),Brooklyn,40.631386,-74.00535,23913.0,512.0,11,2173.91
358,"Newkirk Av-Little Haiti (2,5)",Brooklyn,40.63997,-73.94841,23857.0,1109.0,11,2168.82
154,"116 St (C,B)",Manhattan,40.805084,-73.95488,23741.0,433.0,11,2158.27
293,Van Cortlandt Park-242 St (1),Bronx,40.889248,-73.89858,23587.0,4097.0,11,2144.27
299,Dyckman St (1),Manhattan,40.86053,-73.92554,23499.0,164.0,11,2136.27
457,52 St (7),Queens,40.74415,-73.91255,23445.0,82.0,11,2131.36
5,"36 Av (N,W)",Queens,40.756805,-73.92957,23440.0,229.0,11,2130.91
43,Parkside Av (Q),Brooklyn,40.655293,-73.961494,23351.0,755.0,11,2122.82
455,69 St (7),Queens,40.746326,-73.8964,23242.0,1744.0,11,2112.91
379,Mosholu Pkwy (4),Bronx,40.87975,-73.88466,23181.0,927.0,11,2107.36
95,"Gates Av (J,Z)",Brooklyn,40.68963,-73.92227,23168.0,466.0,11,2106.18
326,Franklin St (1),Manhattan,40.71932,-74.00689,22387.0,26.0,11,2035.18
65,79 St (D),Brooklyn,40.613503,-74.00061,22219.0,156.0,11,2019.91
195,Ozone Park-Lefferts Blvd (A),Queens,40.68595,-73.8258,22130.0,2970.0,11,2011.82
66,18 Av (D),Brooklyn,40.607952,-74.00174,22014.0,1587.0,11,2001.27
269,"Northern Blvd (M,R)",Queens,40.752884,-73.906006,22004.0,3114.0,10,2200.4
215,"Tremont Av (B,D)",Bronx,40.85041,-73.90523,21962.0,1243.0,11,1996.55
387,170 St (4),Bronx,40.840076,-73.91779,21717.0,698.0,11,1974.27
